nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
RBHY11;294;1,45;0,0129;154900000,0;97,91;0,016399999999999998;1,01
RBIR11;23;0,0;0,0;147100000,0;96,22;0,0;0,71
RBIV11;885;0,75;0,0088;166500000,0;96,35;-0,0131;0,87
RBLG11;2;0,8;0,0092;66900000,00000001;104,5;-0,0158;0,83
RBRD11;2501;0,3;0,0066;131199999,99999999;70,83;-0,0672;0,64
RBRF11;18649;0,6;0,0084;1100000000,0;84,02;-0,0353;0,84
RBRI11;5;35,62;0,0;142000000,0;1268,47;0,0;0,83
RBRL11;1992;0,65;0,0074;712500000,0;106,54;0,0273;0,81
RBRP11;16592;0,45;0,0072;1000000000,0;82,44;-0,023799999999999998;0,75
RBRR11;26149;1,2;0,0116;1000000000,0;98,73;0,019;1,03
RBRS11;38;0,44;0,006999999999999999;138500000,0;92,07;0,0546;0,66
RBRY11;3939;1,25;0,011899999999999999;351100000,0;103,35;0,0011;1,01
RBTS11;1;23,36;0,0;66400000,00000001;1174,56;0,0;0,85
RBVA11;19221;0,92;0,009300000000000001;1200000000,0;102,98;0,0155;0,91
RBVO11;154;0,01;0,0032;12100000,0;23,41;0,0;0,54
RCFA11;114;0,0;0,0;13000000,0;22,25;0,0;0,21
RCFF11;9;0,83;0,0;30500000,0;94,44;0,0;1,04
RCRB11;3854;0,6;0,0048;719400000,0;194,91;-0,0613;0,64
RDES11;10296;0,04;0,0006;65900000,00000001;88,83;0,0006;0,65
RDPD11;683;0,56;0,0148;64500000,0;59,86;0,049800000000000004;0,92
RECH11;0;0,0;0,0;0,0;0,0;0,0;0,0
RECR11;45705;1,5;0,015;2300000000,0;95,3;-0,0037;1,06
RECT11;12467;0,5;0,008;791900000,0;96,82;-0,046900000000000004;0,6
RECX11;184;0,7;0,0088;18900000,0;86,62;-0,1335;0,91
RELG11;2886;0,9;0,0121;161600000,0;121,05;0,0087;0,61
RFOF11;2122;0,67;0,009399999999999999;91300000,0;84,68;-0,0018;0,83
RMAI11;491;0,26;0,0077;264200000,0;108,1;-0,0495;0,31
RNDP11;8;3,74;0,011200000000000002;51000000,0;474,44;-0,04650000000000001;0,8
RNGO11;2041;0,39;0,0078000000000000005;234500000,0;87,62;0,054299999999999994;0,56
RRCI11;1388;1,4;0,0141;47300000,0;98,1;0,0547;0,92
RSPD11;3;13,25;0,0;164800000,0;1106,26;0,0;1,02
RVBI11;2266;0,75;0,0097;126000000,0;87,5;-0,022799999999999997;0,87
RZAG11;210328;0,12;0,011699999999999999;289400000,0;9,54;0,037000000000000005;1,05
RZAK11;7078;1,8;0,0183;282800000,0;94,22;0,018000000000000002;1,04
RZTR11;29597;1,25;0,012;1100000000,0;98,2;0,0327;1,05
SAAG11;12868;0,93;0,008;627900000,0;111,5;-0,092;0,96
SADI11;35747;0,9;0,0098;320500000,0;100,77;0,029300000000000003;0,91
SAIC11B;37;0,73;0,0;79800000,0;55,8;0,0;0,64
SARE11;15807;0,62;0,008100000000000001;913000000,0;98,87;0,0931;0,75
SCPF11;182;0,01;0,0016;52400000,0;12,47;-0,0353;0,47
SDIL11;11740;0,76;0,0084;643200000,0;100,58;0,0068000000000000005;0,91
SDIP11;7755;0,49;0,0054;349100000,0;96,42;0,0168;0,91
SEQR11;5744;0,63;0,0097;154700000,0;96,18;-0,0518;0,66
SFND11;0;0,77;0,0;9600000,0;9,77;0,0;0,0
SHDP11B;100;5,63;0,0;2000000000,0;1373,37;0,0;0,88
SHOP11;0;0,0;0,0;71900000,0;48,51;0,0;0,0
SHPH11;8;2,2;0,0040999999999999995;540400000,0;887,4;0,0006;0,86
SJAU11;1;0,0;0,0;814100000,0;102,63;0,0;1,09
SNCI11;17843;1,45;0,013999999999999999;252100000,0;100,85;-0,029300000000000003;1,02
SNFF11;6662;0,65;0,0078000000000000005;228300000,0;91,31;-0,060599999999999994;0,91
SPTW11;4357;0,4;0,009000000000000001;95100000,0;52,87;0,0007000000000000001;0,83
SPVJ11;0;0,63;0,0;679300000,0;107,62;0,0;0,0
SRVD11;104;0,2;0,0101;94800000,0;0,98;0,0101;7,12
STRX11;0;0,71;0,0;226900000,0;140,61;0,0;0,0
TBOF11;13109;0,41;0,004;2200000,0;0,21;0,0425;473,34
TCIN11;1500;0,0;0,0;90000000,0;108,24;0,0;1,03
TELD11;0;0,0;0,0;9700000,0;98,24;0,0;0,0
TEPP11;3967;0,49;0,006999999999999999;382100000,0;90,51;0,051399999999999994;0,75
TGAR11;19147;1,44;0,012;1400000000,0;128,0;0,06559999999999999;0,92
THRA11;477;0,13;0,0;14100000,0;9,54;0,0;14,52
TORD11;54119;0,12;0,0129;466400000,0;13,31;0,0229;0,69
TRNT11;13;0,45;0,0042;796800000,0;202,46;-0,0143;0,59
TRXF11;27159;0,85;0,008;715300000,0;98,74;0,0109;1,0
TRXL11;9524;0,4;0,0038;183200000,0;98,1;-0,016;1,05
UBSR11;17369;0,7;0,006999999999999999;666900000,0;97,27;-0,0069;1,05
URPR11;46599;1,84;0,0172;549500000,0;99,58;-0,0689;1,12
VCJR11;13796;1,49;0,0151;1400000000,0;94,71;0,0263;1,03
VCRR11;1716;0,67;0,0087;239400000,0;119,71;0,0993;0,62
VERE11;1;1,36;0,0;185800000,0;337,78;0,0;0,76
