nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
CJCT11;1;R$ 0,00;0,61%;R$ 186 mi;R$ 64,82;19,96%;1,25
CNES11;16;R$ 0,09;0,27%;R$ 255,3 mi;R$ 86,57;5,98%;0,40
CORM11;43;R$ 1,31;0,88%;R$ 94,3 mi;R$ 92,71;-2,08%;0,98
CPFF11;8.002;R$ 0,60;0,85%;R$ 421,2 mi;R$ 77,28;-0,31%;0,90
CPTS11;73.246;R$ 1,08;1,15%;R$ 2,6 bi;R$ 93,39;-0,48%;1,00
CRFF11;3;R$ 0,57;0,87%;R$ 60,2 mi;R$ 87,24;-1,54%;0,75
CTXT11;97;R$ 0,09;0,39%;R$ 118,3 mi;R$ 40,76;-2,20%;0,52
CVBI11;17.315;R$ 1,50;1,48%;R$ 1 bi;R$ 99,83;-0,67%;1,02
CXAG11;1.781;R$ 0,75;0,96%;R$ 214,3 mi;R$ 102,48;1,62%;0,75
CXCE11B;580;R$ 0,34;0,89%;R$ 111 mi;R$ 64,83;-4,24%;0,60
CXCI11;251;R$ 0,75;0,80%;R$ 201 mi;R$ 97,68;0,80%;0,80
CXCO11;2.069;R$ 0,73;0,94%;R$ 376,3 mi;R$ 95,89;1,59%;0,80
CXRI11;983;R$ 0,53;0,83%;R$ 134,5 mi;R$ 85,36;-1,07%;0,74
CXTL11;1;R$ 0,48;0,16%;R$ 37,1 mi;R$ 691,32;-5,97%;0,41
CYCR11;161;R$ 1,35;1,36%;R$ 61,4 mi;R$ 96,12;0,56%;1,08
DEVA11;29.303;R$ 1,40;1,43%;R$ 1,4 bi;R$ 97,25;-1,18%;1,01
DMAC11;2.543;R$ 2,96;36,32%;R$ 778.257,9;R$ 4,99;4,85%;2,61
DOMC11;42;R$ 0,00;0,00%;R$ 271 mi;R$ 110,90;4,35%;3,96
DOVL11B;44;R$ 0,00;N/A;R$ 81,3 mi;R$ 1.223,62;N/A;0,76
DRIT11B;4;R$ 0,33;0,28%;R$ 58,1 mi;R$ 125,45;6,07%;0,64
DVFF11;713;R$ 0,70;1,07%;R$ 101,4 mi;R$ 92,13;-3,09%;0,77
EDFO11B;30;R$ 1,49;0,73%;R$ 45,3 mi;R$ 191,85;-1,14%;1,06
EDGA11;1.891;R$ 0,14;0,71%;R$ 252,4 mi;R$ 66,20;1,12%;0,29
EGYR11;4.022;N/A;N/A;R$ 93,5 mi;R$ 12,47;N/A;0,14
ELDO11B;N/A;R$ 0,52;0,00%;R$ 1,1 bi;R$ 1.342,97;0,00%;N/A
EQIA11;3.703;R$ 0,45;N/A;R$ 38,6 mi;R$ 96,02;N/A;0,98
EQIN11;7.984;R$ 1,33;1,41%;R$ 138,4 mi;R$ 95,28;1,65%;0,98
EQIR11;107;R$ 1,04;1,10%;R$ 51,2 mi;R$ 101,97;1,27%;0,98
ERCR11;1;R$ 2,96;0,00%;R$ 167,1 mi;R$ 70.317,64;0,00%;1,08
ERPA11;1;R$ 0,23;0,24%;R$ 57,8 mi;R$ 115,40;0,24%;1,10
EURO11;565;R$ 1,70;0,81%;R$ 120 mi;R$ 312,61;4,97%;0,75
EVBI11;6;R$ 0,75;0,79%;R$ 138,3 mi;R$ 98,95;4,36%;1,00
FAED11;1.142;R$ 1,48;1,02%;R$ 138,8 mi;R$ 216,18;8,40%;0,67
FAMB11B;23;R$ 9,16;0,56%;R$ 325,3 mi;R$ 3.104,43;-47,51%;0,27
FATN11;330;R$ 0,80;0,81%;R$ 99,2 mi;R$ 100,72;5,89%;1,01
FCAS11;N/A;R$ 1,50;0,00%;R$ 80,7 mi;R$ 60,79;0,00%;N/A
FCFL11;566;R$ 0,82;0,68%;R$ 364 mi;R$ 104,78;3,88%;1,14
FEXC11;8.552;R$ 1,10;1,20%;R$ 571,7 mi;R$ 93,67;1,55%;0,96
FFCI11;14.342;R$ 0,72;0,42%;R$ 373,2 mi;R$ 171,97;-0,33%;1,06
FIGS11;2.984;R$ 0,37;0,72%;R$ 283,4 mi;R$ 99,45;-5,15%;0,51
FIIB11;971;R$ 3,30;0,75%;R$ 312,9 mi;R$ 456,73;-0,92%;0,95
FIIP11B;990;R$ 1,28;0,80%;R$ 185,9 mi;R$ 200,48;-2,08%;0,76
FINF11;N/A;R$ 0,00;0,00%;R$ 42,9 mi;R$ 52,29;0,00%;N/A
FISC11;200;R$ 0,22;0,00%;R$ 259 mi;R$ 152,33;0,00%;1,08
FIVN11;1.482;R$ 0,00;0,00%;R$ 65,7 mi;R$ 6,98;0,00%;0,31
FLCR11;1.644;R$ 1,02;1,62%;R$ 64 mi;R$ 101,00;0,46%;0,97
FLMA11;936;R$ 0,83;0,70%;R$ 216,7 mi;R$ 156,92;-0,53%;0,74
FLRP11;1;R$ 9,50;0,73%;R$ 112,2 mi;R$ 1.720,21;6,51%;0,74
FMOF11;257;R$ 0,03;0,25%;R$ 62,4 mi;R$ 122,85;22,40%;0,51
FOFT11;5.663;R$ 1,90;1,54%;R$ 125,6 mi;R$ 104,98;12,26%;1,17
FPAB11;31;R$ 1,63;0,73%;R$ 307,5 mi;R$ 410,01;1,19%;0,52
FPNG11;2;R$ 0,88;0,00%;R$ 172,6 mi;R$ 168,84;0,00%;0,50
FVBI11;3.042;R$ 30,00;18,78%;R$ 0;R$ 0,00;18,78%;Inf
FVPQ11;154;R$ 0,70;0,59%;R$ 555,3 mi;R$ 198,31;1,70%;0,59
GALG11;13.628;R$ 0,82;0,86%;R$ 587,6 mi;R$ 102,22;0,28%;0,93
GAME11;2.940;R$ 0,14;1,38%;R$ 203,5 mi;R$ 9,88;-0,39%;1,01
GCFF11;1.024;R$ 0,75;1,03%;R$ 30,1 mi;R$ 88,89;-3,13%;0,81
GCRA11;1.366;R$ 1,05;1,48%;R$ 71,2 mi;R$ 98,59;3,39%;1,05
GCRI11;3.835;R$ 1,00;1,51%;R$ 98,4 mi;R$ 98,35;2,01%;1,01
GESE11B;300;R$ 13,66;0,00%;R$ 86,5 mi;R$ 1.664,33;0,00%;0,91
GGRC11;9.731;R$ 0,90;0,82%;R$ 1 bi;R$ 130,53;2,87%;0,83
GLPL11;N/A;N/A;N/A;N/A;N/A;N/A;N/A
GRLV11;54.618;R$ 0,17;0,00%;R$ 6,4 mi;R$ 5,97;0,00%;24,38
GSFI11;8.713;R$ 0,00;0,03%;R$ 997,6 mi;R$ 13,27;0,03%;0,33
GTLG11;1;R$ 0,67;0,70%;R$ 686,1 mi;R$ 95,65;0,70%;1,05
GTWR11;11.316;R$ 0,74;0,98%;R$ 1,2 bi;R$ 98,59;-6,23%;0,73
HAAA11;1;R$ 0,54;0,57%;R$ 322,8 mi;R$ 93,42;-1,16%;1,02
HABT11;18.287;R$ 1,25;1,20%;R$ 732,6 mi;R$ 98,70;-0,74%;1,04
HBRH11;413;R$ 0,67;0,85%;R$ 313,8 mi;R$ 113,19;-0,44%;0,75
HBTT11;3;R$ 16,58;1,57%;R$ 159,7 mi;R$ 886,32;1,91%;1,19
HCHG11;531;R$ 0,88;1,06%;R$ 123,6 mi;R$ 102,99;-5,66%;0,80
HCRI11;299;R$ 2,49;0,88%;R$ 51,8 mi;R$ 259,05;-17,35%;0,98
HCST11;1;N/A;N/A;R$ 31 mi;R$ 101,08;N/A;0,94
HCTR11;68.871;R$ 1,75;1,65%;R$ 2,6 bi;R$ 119,76;-9,74%;0,94
HFOF11;18.780;R$ 0,60;0,79%;R$ 1,9 bi;R$ 84,66;2,03%;0,86
HGBS11;5.433;R$ 1,20;0,67%;R$ 2,2 bi;R$ 216,22;0,06%;0,83
