nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
RRCI11;1.388;R$ 1,40;1,41%;R$ 47,3 mi;R$ 98,10;5,47%;0,92
RSPD11;3;R$ 13,25;N/A;R$ 164,8 mi;R$ 1.106,26;N/A;1,02
RVBI11;2.266;R$ 0,75;0,97%;R$ 126 mi;R$ 87,50;-2,28%;0,87
RZAG11;210.328;R$ 0,12;1,17%;R$ 289,4 mi;R$ 9,54;3,70%;1,05
RZAK11;7.078;R$ 1,80;1,83%;R$ 282,8 mi;R$ 94,22;1,80%;1,04
RZTR11;29.597;R$ 1,25;1,20%;R$ 1,1 bi;R$ 98,20;3,27%;1,05
SAAG11;12.868;R$ 0,93;0,80%;R$ 627,9 mi;R$ 111,50;-9,20%;0,96
SADI11;35.747;R$ 0,90;0,98%;R$ 320,5 mi;R$ 100,77;2,93%;0,91
SAIC11B;37;R$ 0,73;0,00%;R$ 79,8 mi;R$ 55,80;0,00%;0,64
SARE11;15.807;R$ 0,62;0,81%;R$ 913 mi;R$ 98,87;9,31%;0,75
SCPF11;182;R$ 0,01;0,16%;R$ 52,4 mi;R$ 12,47;-3,53%;0,47
SDIL11;11.740;R$ 0,76;0,84%;R$ 643,2 mi;R$ 100,58;0,68%;0,91
SDIP11;7.755;R$ 0,49;0,54%;R$ 349,1 mi;R$ 96,42;1,68%;0,91
SEQR11;5.744;R$ 0,63;0,97%;R$ 154,7 mi;R$ 96,18;-5,18%;0,66
SFND11;N/A;R$ 0,77;0,00%;R$ 9,6 mi;R$ 9,77;0,00%;N/A
SHDP11B;100;R$ 5,63;0,00%;R$ 2 bi;R$ 1.373,37;0,00%;0,88
SHOP11;N/A;N/A;N/A;R$ 71,9 mi;R$ 48,51;N/A;N/A
SHPH11;8;R$ 2,20;0,41%;R$ 540,4 mi;R$ 887,40;0,06%;0,86
SJAU11;1;N/A;N/A;R$ 814,1 mi;R$ 102,63;N/A;1,09
SNCI11;17.843;R$ 1,45;1,40%;R$ 252,1 mi;R$ 100,85;-2,93%;1,02
SNFF11;6.662;R$ 0,65;0,78%;R$ 228,3 mi;R$ 91,31;-6,06%;0,91
SPTW11;4.357;R$ 0,40;0,90%;R$ 95,1 mi;R$ 52,87;0,07%;0,83
SPVJ11;N/A;R$ 0,63;0,00%;R$ 679,3 mi;R$ 107,62;0,00%;N/A
SRVD11;104;R$ 0,20;1,01%;R$ 94,8 mi;R$ 0,98;1,01%;7,12
STRX11;N/A;R$ 0,71;0,00%;R$ 226,9 mi;R$ 140,61;0,00%;N/A
TBOF11;13.109;R$ 0,41;0,40%;R$ 2,2 mi;R$ 0,21;4,25%;473,34
TCIN11;1.500;N/A;N/A;R$ 90 mi;R$ 108,24;N/A;1,03
TELD11;N/A;N/A;N/A;R$ 9,7 mi;R$ 98,24;N/A;N/A
TEPP11;3.967;R$ 0,49;0,70%;R$ 382,1 mi;R$ 90,51;5,14%;0,75
TGAR11;19.147;R$ 1,44;1,20%;R$ 1,4 bi;R$ 128,00;6,56%;0,92
THRA11;477;R$ 0,13;0,00%;R$ 14,1 mi;R$ 9,54;0,00%;14,52
TORD11;54.119;R$ 0,12;1,29%;R$ 466,4 mi;R$ 13,31;2,29%;0,69
TRNT11;13;R$ 0,45;0,42%;R$ 796,8 mi;R$ 202,46;-1,43%;0,59
TRXF11;27.159;R$ 0,85;0,80%;R$ 715,3 mi;R$ 98,74;1,09%;1,00
TRXL11;9.524;R$ 0,40;0,38%;R$ 183,2 mi;R$ 98,10;-1,60%;1,05
UBSR11;17.369;R$ 0,70;0,70%;R$ 666,9 mi;R$ 97,27;-0,69%;1,05
URPR11;46.599;R$ 1,84;1,72%;R$ 549,5 mi;R$ 99,58;-6,89%;1,12
VCJR11;13.796;R$ 1,49;1,51%;R$ 1,4 bi;R$ 94,71;2,63%;1,03
VCRR11;1.716;R$ 0,67;0,87%;R$ 239,4 mi;R$ 119,71;9,93%;0,62
VERE11;1;R$ 1,36;0,00%;R$ 185,8 mi;R$ 337,78;0,00%;0,76
VGHF11;1.023.478;R$ 0,13;1,28%;R$ 611,9 mi;R$ 9,40;-0,10%;1,04
VGIA11;88.773;R$ 0,15;1,39%;R$ 95,7 mi;R$ 9,51;1,49%;1,18
VGIP11;21.774;R$ 1,50;1,51%;R$ 869,5 mi;R$ 93,56;0,28%;1,06
VGIR11;21.069;R$ 1,20;1,20%;R$ 731,4 mi;R$ 96,61;-0,14%;1,02
VIFI11;20.574;R$ 0,06;0,83%;R$ 73 mi;R$ 0,90;1,97%;7,81
VILG11;21.569;R$ 0,70;0,69%;R$ 1,7 bi;R$ 113,61;3,51%;0,87
VINO11;29.878;R$ 0,34;0,66%;R$ 904,5 mi;R$ 54,60;8,28%;0,87
VISC11;17.288;R$ 0,70;0,68%;R$ 2 bi;R$ 115,65;5,77%;0,88
VIUR11;28.727;R$ 0,07;1,02%;R$ 258,2 mi;R$ 95,84;4,12%;0,08
VJFD11;N/A;R$ 1,03;0,00%;R$ 650,8 mi;R$ 133,47;0,00%;N/A
VLOL11;203;R$ 0,62;0,63%;R$ 184,8 mi;R$ 103,54;2,73%;0,93
VOTS11;8;R$ 1,40;1,44%;R$ 81 mi;R$ 97,79;10,42%;0,96
VPSI11;N/A;R$ 0,09;0,00%;R$ 149,4 mi;R$ 18,51;0,00%;N/A
VRTA11;25.609;R$ 1,20;1,17%;R$ 1,3 bi;R$ 96,64;-0,65%;1,03
VSHO11;57;R$ 0,69;0,76%;R$ 214,9 mi;R$ 102,38;1,38%;0,78
VSLH11;92.223;R$ 0,11;1,18%;R$ 303,2 mi;R$ 10,15;-1,25%;0,90
VTLT11;601;R$ 0,83;0,90%;R$ 218,9 mi;R$ 103,48;-2,57%;0,87
VTPL11;N/A;N/A;N/A;R$ 106,3 mi;R$ 76,69;N/A;N/A
VVPR11;10.198;R$ 0,77;0,82%;R$ 238,4 mi;R$ 103,41;1,68%;0,94
VXXV11;2.269;R$ 10,76;N/A;R$ 144,7 mi;R$ 818,70;N/A;1,04
WPLZ11;80;R$ 0,15;0,40%;R$ 105 mi;R$ 102,84;1,77%;0,64
WTSP11B;9;R$ 0,32;0,76%;R$ 79 mi;R$ 79,58;0,76%;0,49
XPCA11;69.373;R$ 0,05;1,35%;R$ 134,5 mi;R$ 9,54;6,80%;1,05
XPCI11;25.050;R$ 1,18;1,22%;R$ 670,5 mi;R$ 97,34;2,45%;0,97
XPCM11;4.588;R$ 0,18;1,03%;R$ 129,9 mi;R$ 53,78;3,45%;0,31
XPHT11;10;R$ 0,05;0,10%;R$ 357,9 mi;R$ 94,06;0,10%;1,11
XPIN11;8.010;R$ 0,61;0,78%;R$ 784,3 mi;R$ 109,68;-6,89%;0,70
XPLG11;30.942;R$ 0,66;0,67%;R$ 3,1 bi;R$ 113,25;1,24%;0,84
XPML11;25.409;R$ 0,68;0,70%;R$ 1,9 bi;R$ 101,32;-1,97%;0,98
XPPR11;11.246;R$ 0,45;0,77%;R$ 574,2 mi;R$ 78,49;4,74%;0,69
XPSF11;182.572;R$ 0,68;0,93%;R$ 378,8 mi;R$ 8,75;5,88%;0,81
XTED11;427;R$ 0,00;0,00%;R$ 27,3 mi;R$ 13,89;1,10%;0,43
YCHY11;65;R$ 19,41;1,94%;R$ 23,1 mi;R$ 989,04;-6,48%;1,01
YUFI11B;N/A;R$ 0,79;0,00%;R$ 41,2 mi;R$ 104,32;0,00%;N/A
